Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
MAHMAH,MAHINDRA & MAHINDRA LIMITED,INE101A01026,20,938.36,733.60,+ 0.40,18767.20,14672.00,(487.13),-4095.20,(21.82),
MARUTI,MARUTI SUZUKI INDIA LTD,INE585B01010,3,9151.72,7559.75,- 1.74,27455.16,22679.25,(1980.49),-4775.91,(17.40),
AXIBAN,AXIS BANK LIMITED,INE238A01034,51,603.27,609.50,+ 0.68,30766.77,31084.50,1029.93,317.73,1.03,
BAFINS,BAJAJ FINSERV LIMITED,INE918I01018,3,6917.84,9215.60,- 0.84,20753.52,27646.80,(2852.86),6893.28,33.21,
HDFBAN,HDFC BANK LIMITED,INE040A01034,95,1108.85,1411.35,- 2.11,105340.75,134078.25,(15.30),28737.50,27.28,
HDFC,HOUSING DEVELOPMENT FINANCE CO,INE001A01036,12,1967.82,2479.40,- 0.61,23613.84,29752.80,(1135.65),6138.96,26.00,
SBILIF,SBI LIFE INSURANCE COMPANY LTD,INE123W01016,25,663.23,857.15,+ 0.09,16580.75,21428.75,(423.33),4848.00,29.24,
STABAN,STATE BANK OF INDIA,INE062A01020,108,281.32,271.45,+ 1.40,30382.56,29316.60,19.78,-1065.96,(3.51),
KAJCER,KAJARIA CERAMICS LTD,INE217B01036,37,574.73,699.90,+ 1.02,21265.01,25896.30,0.00,4631.29,21.78,
HAVIND,HAVELLS INDIA LIMITED,INE176B01034,32,629.46,919.35,+ 0.91,20142.72,29419.20,724.94,9276.48,46.05,
ABB,ABB INDIA LIMITED,INE117A01022,15,1257.29,1246.95,+ 1.16,18859.35,18704.25,493.31,-155.10,(0.82),
ITC,ITC LIMITED,INE154A01025,76,291.32,214.50,+ 0.68,22140.32,16302.00,593.20,-5838.32,(26.37),
PCJEW,PC JEWELLER LIMITED,INE785M01013,60,332.23,23.85,- 0.63,19933.80,1431.00,0.00,-18502.80,(92.82),
INDHOT,INDIAN HOTELS CO LTD,INE053A01029,145,133.52,127.80,- 1.69,19360.40,18531.00,88.49,-829.40,(4.28),
ICINIF,ICICI PRUDENTIAL NIFTY ETF,INF109K012R6,40,114.86,146.12,+ 0.52,4594.40,5844.80,0.00,1250.40,27.22,
INFTEC,INFOSYS LTD,INE009A01021,38,678.40,1189.80,+ 2.64,25779.20,45212.40,737.76,19433.20,75.38,
WIPRO,WIPRO LTD,INE075A01022,90,211.01,363.55,+ 1.86,18990.90,32719.50,(189.83),13728.60,72.29,
TATSTE,TATA STEEL LIMITED,INE081A01012,34,586.75,631.25,- 0.64,19949.50,21462.50,(330.80),1513.00,7.58,
BIOCON,BIOCON LIMITED,INE376G01013,96,288.91,471.95,+ 2.40,27735.36,45307.20,(1011.42),17571.84,63.36,
DRLAL,DR. LAL PATHLABS LIMITED,INE600L01024,151,1444.55,2182.70,+ 1.22,218127.05,329587.70,0.00,111460.65,51.10,
RELIND,RELIANCE INDUSTRIES,INE002A01018,80,1378.98,1991.55,+ 0.30,110318.40,159324.00,1279.82,49005.60,44.42,
TRENT,TRENT LTD LAKME LTD,INE849A01020,121,481.67,698.45,- 0.39,58282.07,84512.45,(476.25),26230.38,45.01,
CONCOR,CONTAINER CORPORATION OF INDIA,INE111A01025,48,485.81,405.25,- 0.86,23318.88,19452.00,(2886.41),-3866.88,(16.58),
TCIEXP,TCI EXPRESS LIMITED,INE586V01016,32,679.74,938.70,+ 4.30,21751.68,30038.40,3198.15,8286.72,38.10,
